05/30/12,MARVEL COMICS,Uncanny X-Men #11 (Greg Land 2nd Printing Variant Cover)
05/30/12,MARVEL COMICS,Villains For Hire Knight Takes King TP
05/30/12,MARVEL COMICS,Wolverine #307
05/30/12,MARVEL COMICS,Wolverine And The X-Men #11
05/30/12,MARVEL COMICS,X-23 Volume 3 Don't Look Back HC (Premiere Edition)
05/30/12,MARVEL COMICS,X-Factor They Keep Killing Madrox HC (Premiere Edition)
05/30/12,MARVEL COMICS,X-Men #29
05/30/12,MARVEL COMICS,X-Men Legacy #267
05/30/12,MARVEL COMICS,X-Men Phoenix Endsong Warsong Ultimate Collection TP
05/30/12,MCFARLAND,Ages Of Superman Essays On The Man Of Steel In Changing Times SC (not verified by Diamond)
05/30/12,MCFARLAND,Critical History Of Television's The Twilight Zone 1959-1964 SC (not verified by Diamond)
05/30/12,MCFARLAND,Walter B Gibson And The Shadow SC (not verified by Diamond)
05/30/12,MOONSTONE,Omega Paradox Double Feature (One Shot)(Mark Sparacio Regular Cover)
05/30/12,MOONSTONE,Omega Paradox Double Feature (One Shot)(Mark Sparacio Sketch Variant Cover)
05/30/12,MOONSTONE,Zombies Vs Cheerleaders #7 (Cover A George Webber)
05/30/12,MOONSTONE,Zombies Vs Cheerleaders #7 (Cover B Matt Hebb)
05/30/12,MOONSTONE,Zombies Vs Cheerleaders #7 (Cover C Ryan Kincaid)
05/30/12,MOONSTONE,Zombies Vs Cheerleaders #7 (Cover D Ander Sarabia)
05/30/12,NBM,Fairy Tales Of Oscar Wilde Volume 4 The Devoted Friend And The Nightingale And The Rose HC (New Printing)
05/30/12,NBM,Peyo The Life And Work Of A Marvellous Storyteller SC
05/30/12,NON-SPORT UPDATE,Non-Sport Update Volume 23 #3 (June/July 2012)
05/30/12,O'BRIEN PRESS,Brian Boru Ireland's Warrior King GN
05/30/12,PANINI PUBLISHING,Doctor Who Special #31 (not verified by Diamond)
05/30/12,PAPERCUTZ,Best Of The Three Stooges TP
05/30/12,PAPERCUTZ,Ninjago Volume 3 Rise Of The Serpentine GN
05/30/12,PAPERCUTZ,Ninjago Volume 3 Rise Of The Serpentine HC
05/30/12,REBELLION,2000 AD #1779 (not verified by Diamond)
05/30/12,REBELLION,2000 AD #1780 (not verified by Diamond)
05/30/12,REBELLION,2000 AD #1781 (not verified by Diamond)
05/30/12,REBELLION,Judge Dredd Cursed Earth Saga Digest TP (not verified by Diamond)
05/30/12,REBELLION,Judge Dredd Day The Law Died Digest TP (not verified by Diamond)
05/30/12,REBELLION,Judge Dredd Megazine #323 (not verified by Diamond)
05/30/12,REBELLION,Judge Dredd The Complete Case Files Volume 19 TP (not verified by Diamond)
05/30/12,REBELLION,Mega-City Undercover Volume 2 TP (not verified by Diamond)
05/30/12,REBELLION,Rogue Trooper Tales Of Nu-Earth Volume 1 GN (Simon & Schuster Edition)
05/30/12,RED ANVIL COMICS,War Of The Independents #3
05/30/12,ROARING BROOK PRESS,Year Of The Beasts HC (not verified by Diamond)
05/30/12,RUNNING PRESS,Amazing Spider-Man Kit SC
05/30/12,SEVEN SEAS ENTERTAINMENT,My Boyfriend Is A Vampire Collecters Edition Volume 2 GN
05/30/12,SEVEN STORIES PRESS,Graphic Canon Volume 1 From The Epic Of Gilgamesh To Shakespeare To Dangerous Liaisons TP
05/30/12,SKATOON PRODUCTION,A.K.A. GN
05/30/12,THE MUSARDINE,Aslan Pin Up Volume 2 SC
05/30/12,TOR BOOKS,Battle Of Blood And Ink A Fable Of The Flying City Volume 1 GN
05/30/12,TRANSFUZION PUBLISHING,Troma Chillers GN (not verified by Diamond)
05/30/12,VIPER COMICS,World War Hack GN
05/30/12,YEN PRESS,Melancholy Of Haruhi Suzumiya Volume 12 GN
05/30/12,YEN PRESS,Nabari No Ou Volume 10 TP
05/30/12,YEN PRESS,Omamori Himari Volume 7 GN
05/30/12,YEN PRESS,Pandora Hearts Volume 10 GN
05/30/12,YEN PRESS,Puella Magi Madoka Magica Volume 1 GN
05/30/12,YEN PRESS,Soul Eater Volume 9 TP
05/30/12,YEN PRESS,Until Death Do Us Part Volume 1 GN
05/30/12,ZENESCOPE ENTERTAINMENT,Call Of Wonderland #1 (Of 3)(Cover A Anthony Spay)
05/30/12,ZENESCOPE ENTERTAINMENT,Call Of Wonderland #1 (Of 3)(Cover B Marat Mychaels)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Myths And Legends #17 (Cover A Ale Garza)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Myths And Legends #17 (Cover B Mike Capprotti)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Myths And Legends Volume 3 TP
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Oversized Cosplay Special (Cover A Eric Basaldua)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Oversized Cosplay Special (Cover B Alfredo Reyes)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Alice In Wonderland #1 (Of 6)(2nd Printing Variant Cover)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Alice In Wonderland #6 (Of 6)(Cover A Anthony Spay Trifold)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Alice In Wonderland #6 (Of 6)(Cover B Stjepan Sejic)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Jungle Book #3 (Of 5)(Cover A Pasquale Qualano)
05/30/12,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Jungle Book #3 (Of 5)(Cover B Carlos Granda)
05/30/12,Games - CRYPTOZOIC ENTERTAINMENT,Big Bang Theory Party Game (resolicited)
05/30/12,Games - FANTASY FLIGHT PUBLISHING,Dust Tactics Operation Zverograd Expansion Set
05/30/12,Games - FANTASY FLIGHT PUBLISHING,Dust Tactics SSU Airborne Transport
05/30/12,Games - FANTASY FLIGHT PUBLISHING,Dust Tactics SSU Command Squad Minis Box
05/30/12,Games - FANTASY FLIGHT PUBLISHING,Dust Tactics SSU NKVD Battle Squad Minis Box
05/30/12,Games - FANTASY FLIGHT PUBLISHING,Dust Tactics SSU NKVD Close Combat Squad Minis Box
05/30/12,Games - FANTASY FLIGHT PUBLISHING,Game Of Thrones LCG Valar Morghulis Chapter Pack
05/30/12,Games - FANTASY FLIGHT PUBLISHING,Warhammer Fantasy Roleplay Heros Call
05/30/12,Games - FANTASY FLIGHT PUBLISHING,Warhammer 40000 Deathwatch RPG Rising Tempest
05/30/12,Games - GREEN RONIN PUBLISHING,Song Of Ice And Fire RPG Game Of Thrones Edition HC
05/30/12,Games - PSI,Munchkin Cthulhu Kill-O-Meter
05/30/12,Games - USAOPOLY,Godfather Collectors Edition Monopoly
05/30/12,Videos,Book Of Bantorra Collection 1 DVD
05/30/12,Videos,Doctor Who Dragonfire DVD
05/30/12,Videos,Doctor Who Nightmare Of Eden DVD
05/30/12,Videos,Doctor Who The Happiness Patrol DVD
05/30/12,Videos,Fantastic Adventures Of Unico DVD
05/30/12,Videos,Front Line BD + DVD
05/30/12,Videos,Front Line DVD
05/30/12,Videos,Get Backers Complete Collection DVD
05/30/12,Videos,Gintama The Movie BD
05/30/12,Videos,Gintama The Movie DVD
05/30/12,Videos,Guin Saga Complete Collection BD
05/30/12,Videos,Guin Saga Complete Collection DVD
05/30/12,Videos,Hero Tales Complete Collection DVD
05/30/12,Videos,Let The Bullets Fly DVD
05/30/12,Videos,Mutant Girls Squad BD
05/30/12,Videos,Mutant Girls Squad DVD
05/30/12,Videos,Ouran High School Host Club Complete Series BD
05/30/12,Videos,Planet Of The Vampire Women DVD
05/30/12,Videos,Planzet BD
05/30/12,Videos,Planzet DVD
05/30/12,Videos,Shiki Part 2 BD + DVD
05/30/12,Videos,Shock Labyrinth 3D BD + DVD
05/30/12,Videos,Shogun Assassin Collectors Set BD
05/30/12,Videos,Story Of Rock N Roll Comics DVD
05/30/12,Videos,Unico In The Island Of Magic DVD
05/30/12,Merchandise,Avengers Hero 8-Inch Action Figure Assortment 201202
05/30/12,Merchandise,Batman Classic Word Snap Back Cap
05/30/12,Merchandise,Batman Raw By Lee T-Shirt LG
05/30/12,Merchandise,Batman Raw By Lee T-Shirt MED
05/30/12,Merchandise,Batman Raw By Lee T-Shirt XL
05/30/12,Merchandise,Big Bang Theory I Atom Coitus Black T-Shirt XL
05/30/12,Merchandise,Big Lebowski Walter Funky Chunky Magnet
05/30/12,Merchandise,Captain America Classic Word Snap Back Cap
05/30/12,Merchandise,Captain America Predator Plus EXP Electric Guitar
05/30/12,Merchandise,Classic Etch-A-Sketch 1960 Package
05/30/12,Merchandise,Classic Swamp Thing By Wrightson T-Shirt LG
05/30/12,Merchandise,Classic Swamp Thing By Wrightson T-Shirt MED
05/30/12,Merchandise,Classic Swamp Thing By Wrightson T-Shirt XL
05/30/12,Merchandise,Classic Swamp Thing By Wrightson T-Shirt XXL
05/30/12,Merchandise,Dark Knight Rises Bane Wacky Wobbler
05/30/12,Merchandise,Dark Knight Rises Batman 7 Inch Plush
05/30/12,Merchandise,DC Mini-Mezitz Batman Keychain Case
05/30/12,Merchandise,DC Mini-Mezitz Green Lantern Keychain Case
05/30/12,Merchandise,DC Mini-Mezitz Joker Keychain Case
05/30/12,Merchandise,DC Mini-Mezitz Superman Keychain Case
05/30/12,Merchandise,Doctor Who 1.5 Inch Badge Set
05/30/12,Merchandise,Doctor Who 10th Doctor Sonic Screwdriver Flashlight
05/30/12,Merchandise,Fighting American Covers Mug
05/30/12,Merchandise,Flash 52 By Manapul T-Shirt LG
